study_no,reference,lat,long,data_type,study_age,reps,checkcrop,cropseq_simp,rotlength_simp,speciesno_simp,bio_simp,den_simp,cropseq_div,rotlength_div,speciesno_div,bio_div,den_div,sys_tillage,sys_weedmgmt,weedmsmt_unit,peren_divYN,fallow_simpYN,PISD_diff,PICV_diff
1,"Adamiak and Adamiak, 2004",53.596166,19.851759,RM,1,4,O,O,1,1,137,469,Fl-Ry-Db-Tr-Po-O,6,6,27.7,206,tilled,none,community,N,N,6.047037842337906,0.49701680895927997
1,"Adamiak and Adamiak, 2004",53.596166,19.851759,RM,2,4,O,O,1,1,207.4,691,Fl-Ry-Db-Tr-Po-O,6,6,25.7,149,tilled,none,community,N,N,6.047037842337906,0.49701680895927997
1,"Adamiak and Adamiak, 2004",53.596166,19.851759,RM,3,4,O,O,1,1,193.6,919,Fl-Ry-Db-Tr-Po-O,6,6,27.9,150,tilled,none,community,N,N,6.047037842337906,0.49701680895927997
1,"Adamiak and Adamiak, 2004",53.596166,19.851759,RM,4,4,O,O,1,1,125.7,545,Fl-Ry-Db-Tr-Po-O,6,6,63.7,287,tilled,none,community,N,N,6.047037842337906,0.49701680895927997
1,"Adamiak and Adamiak, 2004",53.596166,19.851759,RM,5,4,O,O,1,1,166.3,493,Fl-Ry-Db-Tr-Po-O,6,6,63.3,250,tilled,none,community,N,N,6.047037842337906,0.49701680895927997
1,"Adamiak and Adamiak, 2004",53.596166,19.851759,RM,6,4,O,O,1,1,178.9,746,Fl-Ry-Db-Tr-Po-O,6,6,23.5,158,tilled,none,community,N,N,6.047037842337906,0.49701680895927997
1,"Adamiak and Adamiak, 2004",53.596166,19.851759,RM,1,4,O,O,1,1,144.5,734,Fl-Ry-Db-Tr-Po-O,6,6,23.1,211,tilled,none,community,N,N,6.047037842337906,0.49701680895927997
1,"Adamiak and Adamiak, 2004",53.596166,19.851759,RM,2,4,O,O,1,1,151,1150,Fl-Ry-Db-Tr-Po-O,6,6,17.9,134,tilled,none,community,N,N,6.047037842337906,0.49701680895927997
1,"Adamiak and Adamiak, 2004",53.596166,19.851759,RM,3,4,O,O,1,1,163.9,807,Fl-Ry-Db-Tr-Po-O,6,6,15.9,79,tilled,none,community,N,N,6.047037842337906,0.49701680895927997
1,"Adamiak and Adamiak, 2004",53.596166,19.851759,RM,4,4,O,O,1,1,119.5,653,Fl-Ry-Db-Tr-Po-O,6,6,25.4,186,tilled,none,community,N,N,6.047037842337906,0.49701680895927997
1,"Adamiak and Adamiak, 2004",53.596166,19.851759,RM,5,4,O,O,1,1,138,503,Fl-Ry-Db-Tr-Po-O,6,6,76.2,251,tilled,none,community,N,N,6.047037842337906,0.49701680895927997
1,"Adamiak and Adamiak, 2004",53.596166,19.851759,RM,6,4,O,O,1,1,136.2,705,Fl-Ry-Db-Tr-Po-O,6,6,38.4,461,tilled,none,community,N,N,6.047037842337906,0.49701680895927997
1,"Adamiak and Adamiak, 2004",53.596166,19.851759,RM,1,4,O,O,1,1,146.9,424,Fl-Ry-Db-Tr-Po-O,6,6,7.2,96,tilled,herbicides,community,N,N,6.047037842337906,0.49701680895927997
1,"Adamiak and Adamiak, 2004",53.596166,19.851759,RM,2,4,O,O,1,1,75.7,254,Fl-Ry-Db-Tr-Po-O,6,6,5,64,tilled,herbicides,community,N,N,6.047037842337906,0.49701680895927997
